sno,category,Jira,case_Type,def_vals,Raw_Acceptance_Criteria,Acceptance_Criteria
323,B2B Trade,2281,,,"Check BE_B2BActvOpsBalTotA1Y <= BE_B2BActvBalTotA1Y(except for -99999, -99998)","( BE_B2BActvOpsBalTotA1Y in [-99999,-99998]) or ( BE_B2BActvBalTotA1Y in [-99999,-99998]) or ( BE_B2BActvOpsBalTotA1Y <= BE_B2BActvBalTotA1Y )"
324,B2B Trade,2281,,,"Check BE_B2BActvOthBalTotA1Y <= BE_B2BActvBalTotA1Y(except for -99999, -99998) ","( BE_B2BActvOthBalTotA1Y in [-99999,-99998]) or ( BE_B2BActvBalTotA1Y in [-99999,-99998]) or ( BE_B2BActvOthBalTotA1Y <= BE_B2BActvBalTotA1Y )"
325,B2B Trade,2281,,,"Check BE_B2BActvBalTot/BE_B2BActvBalTotA1Y = BE_B2BActvBalTotGrow1Y(except for -99999, -99998, -99997, or if BE_B2BActvBalTot or BE_B2BActvBalTotA1Y is 99999999)","( BE_B2BActvBalTot in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvBalTotA1Y in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvBalTotGrow1Y in [-99999,-99998,-99997]) or (abs(round( BE_B2BActvBalTot / BE_B2BActvBalTotA1Y ,4) - BE_B2BActvBalTotGrow1Y ) <=0.03)"
326,B2B Trade,2281,,,"Check BE_B2BActvCarrBalTot/BE_B2BActvCarrBalTotA1Y = BE_B2BActvCarrBalTotGrow1Y(except for -99999, -99998, -99997, or if BE_B2BActvCarrBalTot or BE_B2BActvCarrBalTotA1Y is 99999999)","( BE_B2BActvCarrBalTot in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvCarrBalTotA1Y in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvCarrBalTotGrow1Y in [-99999,-99998,-99997]) or (abs(round( BE_B2BActvCarrBalTot / BE_B2BActvCarrBalTotA1Y ,4) - BE_B2BActvCarrBalTotGrow1Y ) <=0.03)"
327,B2B Trade,2281,,,"Check BE_B2BActvFltBalTot/BE_B2BActvFltBalTotA1Y = BE_B2BActvFltBalTotGrow1Y(except for -99999, -99998, -99997, or if BE_B2BActvFltBalTot or BE_B2BActvFltBalTotA1Y is 99999999) ","( BE_B2BActvFltBalTot in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvFltBalTotA1Y in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvFltBalTotGrow1Y in [-99999,-99998,-99997]) or (abs(round( BE_B2BActvFltBalTot / BE_B2BActvFltBalTotA1Y ,4) - BE_B2BActvFltBalTotGrow1Y ) <=0.03)"
328,B2B Trade,2281,,,"Check BE_B2BActvMatBalTot/BE_B2BActvMatBalTotA1Y = BE_B2BActvMatBalTotGrow1Y(except for -99999, -99998, -99997, or if BE_B2BActvMatBalTot or BE_B2BActvMatBalTotA1Y is 99999999) ","( BE_B2BActvMatBalTot in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvMatBalTotA1Y in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvMatBalTotGrow1Y in [-99999,-99998,-99997]) or (abs(round( BE_B2BActvMatBalTot / BE_B2BActvMatBalTotA1Y ,4) - BE_B2BActvMatBalTotGrow1Y ) <=0.03)"
329,B2B Trade,2281,,,"Check BE_B2BActvOpsBalTot/BE_B2BActvOpsBalTotA1Y = BE_B2BActvOpsBalTotGrow1Y(except for -99999, -99998, -99997, or if BE_B2BActvOpsBalTot or BE_B2BActvOpsBalTotA1Y is 99999999) ","( BE_B2BActvOpsBalTot in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvOpsBalTotA1Y in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvOpsBalTotGrow1Y in [-99999,-99998,-99997]) or (abs(round( BE_B2BActvOpsBalTot / BE_B2BActvOpsBalTotA1Y ,4) - BE_B2BActvOpsBalTotGrow1Y ) <=0.03)"
330,B2B Trade,2281,,,"Check BE_B2BActvOthBalTot/BE_B2BActvOthBalTotA1Y = BE_B2BActvOthBalTotGrow1Y(except for -99999, -99998, -99997, or if BE_B2BActvOthBalTot or BE_B2BActvOthBalTotA1Y is 99999999) ","( BE_B2BActvOthBalTot in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvOthBalTotA1Y in [-99999,-99998,-99997,99999999]) or ( BE_B2BActvOthBalTotGrow1Y in [-99999,-99998,-99997]) or (abs(round( BE_B2BActvOthBalTot / BE_B2BActvOthBalTotA1Y ,4) - BE_B2BActvOthBalTotGrow1Y ) <=0.03)"
331,B2B Trade,2281,,,"Check when BE_B2BActvBalTotGrow1Y >= 0 and BE_B2BActvBalTotGrow1Y < 1, BE_B2BActvBalTotGrowIndx1Y = 0 (except for -99999, -99998, -99997)","( BE_B2BActvBalTotGrow1Y in [-99999,-99998,-99997] ) or ( BE_B2BActvBalTotGrow1Y in [-99999,-99998,-99997] ) or ( BE_B2BActvBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvBalTotGrow1Y >= 0 and BE_B2BActvBalTotGrow1Y < 1 ) and BE_B2BActvBalTotGrowIndx1Y == 0 ) or ( BE_B2BActvBalTotGrow1Y < 0 or BE_B2BActvBalTotGrow1Y >= 1 ) "
332,B2B Trade,2281,,,"Check when BE_B2BActvBalTotGrow1Y is 1, BE_B2BActvBalTotGrowIndx1Y = 1 (except for -99999, -99998, -99997) ","( BE_B2BActvBalTotGrow1Y in [-99999,-99998,-99997]) or ( BE_B2BActvBalTotGrowIndx1Y in [-99999,-99998,-99997]) or ( BE_B2BActvBalTotGrow1Y <> 1 ) or ( BE_B2BActvBalTotGrow1Y ==1 and BE_B2BActvBalTotGrowIndx1Y == 1 )"
333,B2B Trade,2281,,,"BE_B2BActvBalTotGrow1Y > 1 and BE_B2BActvBalTotGrow1Y <= 9999.9999, BE_B2BActvBalTotGrowIndx1Y = 2 (except for -99999, -99998, -99997)","( BE_B2BActvBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or  ( ( BE_B2BActvBalTotGrow1Y > 1 and BE_B2BActvBalTotGrow1Y <= 9999.9999 ) and BE_B2BActvBalTotGrowIndx1Y == 2) or ( BE_B2BActvBalTotGrow1Y <= 1 or BE_B2BActvBalTotGrow1Y > 9999.9999 ) "
334,B2B Trade,2281,,,"Check when BE_B2BActvCarrBalTotGrow1Y >= 0 and BE_B2BActvCarrBalTotGrow1Y < 1, BE_B2BActvCarrBalTotGrowIndx1Y = 0 (except for -99999, -99998, -99997)","( BE_B2BActvCarrBalTotGrow1Y in [-99999,-99998,-99997] ) or ( BE_B2BActvCarrBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvCarrBalTotGrow1Y >= 0 and BE_B2BActvCarrBalTotGrow1Y < 1 ) and BE_B2BActvCarrBalTotGrowIndx1Y == 0 ) or ( BE_B2BActvCarrBalTotGrow1Y < 0 or BE_B2BActvCarrBalTotGrow1Y >= 1 ) "
335,B2B Trade,2281,,,"Check when BE_B2BActvCarrBalTotGrow1Y is 1, BE_B2BActvCarrBalTotGrowIndx1Y = 1 (except for -99999, -99998, -99997)","( BE_B2BActvCarrBalTotGrow1Y in [-99999,-99998,-99997]) or ( BE_B2BActvCarrBalTotGrowIndx1Y in [-99999,-99998,-99997]) or ( BE_B2BActvCarrBalTotGrow1Y <> 1 ) or ( BE_B2BActvCarrBalTotGrow1Y ==1 and BE_B2BActvCarrBalTotGrowIndx1Y == 1 )"
336,B2B Trade,2281,,,"Check when BE_B2BActvCarrBalTotGrow1Y > 1 and BE_B2BActvCarrBalTotGrow1Y <= 9999.9999, BE_B2BActvCarrBalTotGrowIndx1Y = 2 (except for -99999, -99998, -99997)","( BE_B2BActvCarrBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvCarrBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or  ( ( BE_B2BActvCarrBalTotGrow1Y > 1 and BE_B2BActvCarrBalTotGrow1Y <= 9999.9999 ) and BE_B2BActvCarrBalTotGrowIndx1Y == 2) or ( BE_B2BActvCarrBalTotGrow1Y <= 1 or BE_B2BActvCarrBalTotGrow1Y > 9999.9999 ) "
337,B2B Trade,2281,,,"Check when BE_B2BActvOthBalTotGrow1Y > 1 and BE_B2BActvOthBalTotGrow1Y <= 9999.9999, BE_B2BActvOthBalTotGrowIndx1Y = 2 (except for -99999, -99998, -99997)","( BE_B2BActvOthBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvOthBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvOthBalTotGrow1Y > 1 and BE_B2BActvOthBalTotGrow1Y <= 9999.9999 ) and BE_B2BActvOthBalTotGrowIndx1Y == 2) or ( BE_B2BActvOthBalTotGrow1Y <= 1 or BE_B2BActvOthBalTotGrow1Y > 9999.9999 ) "
338,B2B Trade,2281,,,"Check when BE_B2BActvFltBalTotGrow1Y is 1, BE_B2BActvFltBalTotGrowIndx1Y = 1 (except for -99999, -99998, -99997)","( BE_B2BActvFltBalTotGrow1Y in [-99999,-99998,-99997]) or ( BE_B2BActvFltBalTotGrowIndx1Y in [-99999,-99998,-99997]) or ( BE_B2BActvFltBalTotGrow1Y <> 1 ) or ( BE_B2BActvFltBalTotGrow1Y ==1 and BE_B2BActvFltBalTotGrowIndx1Y == 1 )"
339,B2B Trade,2281,,,"Check when BE_B2BActvFltBalTotGrow1Y > 1 and BE_B2BActvFltBalTotGrow1Y <= 9999.9999, BE_B2BActvFltBalTotGrowIndx1Y = 2 (except for -99999, -99998, -99997)","( BE_B2BActvFltBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvFltBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvFltBalTotGrow1Y > 1 and BE_B2BActvFltBalTotGrow1Y <= 9999.9999 ) and BE_B2BActvFltBalTotGrowIndx1Y == 2) or ( BE_B2BActvFltBalTotGrow1Y <= 1 or BE_B2BActvFltBalTotGrow1Y > 9999.9999 ) "
340,B2B Trade,2281,,,"Check when BE_B2BActvMatBalTotGrow1Y >= 0 and BE_B2BActvMatBalTotGrow1Y < 1, BE_B2BActvMatBalTotGrowIndx1Y = 0 (except for -99999, -99998, -99997)","( BE_B2BActvMatBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvMatBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvMatBalTotGrow1Y >= 0 and BE_B2BActvMatBalTotGrow1Y < 1 ) and BE_B2BActvMatBalTotGrowIndx1Y == 0 ) or ( BE_B2BActvMatBalTotGrow1Y < 0 or BE_B2BActvMatBalTotGrow1Y >= 1 ) "
341,B2B Trade,2281,,,"Check when BE_B2BActvMatBalTotGrow1Y is 1, BE_B2BActvMatBalTotGrowIndx1Y = 1 (except for -99999, -99998, -99997)","( BE_B2BActvMatBalTotGrow1Y in [-99999,-99998,-99997]) or ( BE_B2BActvMatBalTotGrowIndx1Y in [-99999,-99998,-99997]) or ( BE_B2BActvMatBalTotGrow1Y <> 1 ) or ( BE_B2BActvMatBalTotGrow1Y ==1 and BE_B2BActvMatBalTotGrowIndx1Y == 1 )"
342,B2B Trade,2281,,,"Check when BE_B2BActvMatBalTotGrow1Y > 1 and BE_B2BActvMatBalTotGrow1Y <= 9999.9999, BE_B2BActvMatBalTotGrowIndx1Y = 2 (except for -99999, -99998, -99997)","( BE_B2BActvMatBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvMatBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvMatBalTotGrow1Y > 1 and BE_B2BActvMatBalTotGrow1Y <= 9999.9999 ) and BE_B2BActvMatBalTotGrowIndx1Y == 2) or ( BE_B2BActvMatBalTotGrow1Y <= 1 or BE_B2BActvMatBalTotGrow1Y > 9999.9999 ) "
343,B2B Trade,2281,,,"Check when BE_B2BActvOpsBalTotGrow1Y >= 0 and BE_B2BActvOpsBalTotGrow1Y < 1, BE_B2BActvOpsBalTotGrowIndx1Y = 0 (except for -99999, -99998, -99997)","( BE_B2BActvOpsBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvOpsBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvOpsBalTotGrow1Y >= 0 and BE_B2BActvOpsBalTotGrow1Y < 1 ) and BE_B2BActvOpsBalTotGrowIndx1Y == 0 ) or ( BE_B2BActvOpsBalTotGrow1Y < 0 or BE_B2BActvOpsBalTotGrow1Y >= 1 ) "
344,B2B Trade,2281,,,"Check when BE_B2BActvOpsBalTotGrow1Y is 1, BE_B2BActvOpsBalTotGrowIndx1Y = 1 (except for -99999, -99998, -99997)","( BE_B2BActvOpsBalTotGrow1Y in [-99999,-99998,-99997]) or ( BE_B2BActvOpsBalTotGrowIndx1Y in [-99999,-99998,-99997]) or ( BE_B2BActvOpsBalTotGrow1Y <> 1 ) or ( BE_B2BActvOpsBalTotGrow1Y ==1 and BE_B2BActvOpsBalTotGrowIndx1Y == 1 )"
345,B2B Trade,2281,,,"Check when BE_B2BActvOpsBalTotGrow1Y > 1 and BE_B2BActvOpsBalTotGrow1Y <= 9999.9999, BE_B2BActvOpsBalTotGrowIndx1Y = 2 (except for -99999, -99998, -99997)","( BE_B2BActvOpsBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvOpsBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or  ( ( BE_B2BActvOpsBalTotGrow1Y > 1 and BE_B2BActvOpsBalTotGrow1Y <= 9999.9999 ) and BE_B2BActvOpsBalTotGrowIndx1Y == 2) or ( BE_B2BActvOpsBalTotGrow1Y <= 1 or BE_B2BActvOpsBalTotGrow1Y > 9999.9999 ) "
346,B2B Trade,2281,,," Check when BE_B2BActvOthBalTotGrow1Y >= 0 and BE_B2BActvOthBalTotGrow1Y < 1, BE_B2BActvOthBalTotGrowIndx1Y = 0 (except for -99999, -99998, -99997)","( BE_B2BActvOthBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvOthBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvOthBalTotGrow1Y >= 0 and BE_B2BActvOthBalTotGrow1Y < 1 ) and BE_B2BActvOthBalTotGrowIndx1Y == 0 ) or ( BE_B2BActvOthBalTotGrow1Y < 0 or BE_B2BActvOthBalTotGrow1Y >= 1 )"
347,B2B Trade,2281,,,"Check when BE_B2BActvOthBalTotGrow1Y is 1, BE_B2BActvOthBalTotGrowIndx1Y = 1 (except for -99999, -99998, -99997)","( BE_B2BActvOthBalTotGrow1Y in [-99999,-99998,-99997]) or ( BE_B2BActvOthBalTotGrowIndx1Y in [-99999,-99998,-99997]) or ( BE_B2BActvOthBalTotGrow1Y <> 1 ) or ( BE_B2BActvOthBalTotGrow1Y ==1 and BE_B2BActvOthBalTotGrowIndx1Y == 1 )"
348,B2B Trade,2281,,,"Check when BE_B2BActvOthBalTotGrow1Y > 1 and BE_B2BActvOthBalTotGrow1Y <= 9999.9999, BE_B2BActvOthBalTotGrowIndx1Y = 2 (except for -99999, -99998, -99997)","( BE_B2BActvOthBalTotGrow1Y in [-99999,-99998,-99997] )  or ( BE_B2BActvOthBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvOthBalTotGrow1Y > 1 and BE_B2BActvOthBalTotGrow1Y <= 9999.9999 ) and BE_B2BActvOthBalTotGrowIndx1Y == 2) or ( BE_B2BActvOthBalTotGrow1Y <= 1 or BE_B2BActvOthBalTotGrow1Y > 9999.9999 ) "
349,B2B Trade,2281,,,"Check when BE_B2BActvCntArch1Y = 0, BE_B2BActvBalTotA1Y = -99998 ",( BE_B2BActvCntA1Y <> 0  )or ( BE_B2BActvCntA1Y == 0 and BE_B2BActvBalTotA1Y == -99998  )
350,B2B Trade,2281,,,"Check when BE_B2BActvCarrCntArch1Y = 0, BE_B2BActvCarrBalTotA1Y = -99998 ",( BE_B2BActvCarrCntA1Y <> 0  )or ( BE_B2BActvCarrCntA1Y == 0 and BE_B2BActvCarrBalTotA1Y == -99998  )
351,B2B Trade,2281,,,"Check when BE_B2BActvFltCntArch1Y = 0, BE_B2BActvFltBalTotA1Y = -99998 ",( BE_B2BActvFltCntA1Y <> 0  )or ( BE_B2BActvFltCntA1Y == 0 and BE_B2BActvFltBalTotA1Y == -99998  )
352,B2B Trade,2281,,,"Check when BE_B2BActvMatCntArch1Y = 0, BE_B2BActvMatBalTotA1Y = -99998",( BE_B2BActvMatCntA1Y <> 0  )or ( BE_B2BActvMatCntA1Y == 0 and BE_B2BActvMatBalTotA1Y == -99998  )
353,B2B Trade,2281,,,"Check when BE_B2BActvOpsCntArch1Y = 0, BE_B2BActvOpsBalTotA1Y = -99998 ",( BE_B2BActvOpsCntA1Y <> 0  )or ( BE_B2BActvOpsCntA1Y == 0 and BE_B2BActvOpsBalTotA1Y == -99998  )
354,B2B Trade,2281,,,"Check when BE_B2BActvOthCntArch1Y = 0, BE_B2BActvOthBalTotA1Y = -99998 ",( BE_B2BActvOthCntA1Y <> 0  )or ( BE_B2BActvOthCntA1Y == 0 and BE_B2BActvOthBalTotA1Y == -99998  )
355,B2B Trade,2281,,,"Check if (BE_B2BActvCntArch1Y = 0 or BE_B2BActvCnt = 0), BE_B2BActvBalTotGrow1Y = -99998, else if (BE_B2BActvBalTotA1Y = 0), BE_B2BActvBalTotGrow1Y = -99997 ",( BE_B2BActvCntA1Y <> 0 and BE_B2BActvCnt <> 0 ) or (( BE_B2BActvCntA1Y == 0 or  BE_B2BActvCnt == 0 ) and  BE_B2BActvBalTotGrow1Y == -99998  ) or ( BE_B2BActvBalTotA1Y <> 0 ) or ( BE_B2BActvBalTotA1Y == 0 and BE_B2BActvBalTotGrow1Y == -99997  )
356,B2B Trade,2281,,,"Check if (BE_B2BActvCarrCntArch1Y = 0 or BE_B2BActvCarrCnt = 0), BE_B2BActvCarrBalTotGrow1Y = -99998, else if BE_B2BActvCarrBalTotA1Y = 0), BE_B2BActvCarrBalTotGrow1Y = -99997 ",( BE_B2BActvCarrCntA1Y <> 0 and BE_B2BActvCarrCnt <> 0 ) or (( BE_B2BActvCarrCntA1Y == 0 or  BE_B2BActvCarrCnt == 0 ) and  BE_B2BActvCarrBalTotGrow1Y == -99998  ) or ( BE_B2BActvCarrBalTotA1Y <> 0 ) or ( BE_B2BActvCarrBalTotA1Y == 0 and BE_B2BActvCarrBalTotGrow1Y == -99997  )
357,B2B Trade,2281,,,"Check if (BE_B2BActvFltCntArch1Y = 0 or BE_B2BActvFltCnt = 0), BE_B2BActvFltBalTotGrow1Y = -99998, else if BE_B2BActvFltBalTotA1Y = 0), BE_B2BActvFltBalTotGrow1Y = -99997 ",( BE_B2BActvFltCntA1Y <> 0 and BE_B2BActvFltCnt <> 0 ) or (( BE_B2BActvFltCntA1Y == 0 or  BE_B2BActvFltCnt == 0 ) and  BE_B2BActvFltBalTotGrow1Y == -99998  ) or ( BE_B2BActvFltBalTotA1Y <> 0 ) or ( BE_B2BActvFltBalTotA1Y == 0 and BE_B2BActvFltBalTotGrow1Y == -99997  )
358,B2B Trade,2281,,,"Check if (BE_B2BActvMatCntArch1Y = 0 or BE_B2BActvMatCnt = 0), BE_B2BActvMatBalTotGrow1Y = -99998, else if BE_B2BActvMatBalTotA1Y = 0), BE_B2BActvMatBalTotGrow1Y = -99997 ",( BE_B2BActvMatCntA1Y <> 0 and BE_B2BActvMatCnt <> 0 ) or (( BE_B2BActvMatCntA1Y == 0 or  BE_B2BActvMatCnt == 0 ) and  BE_B2BActvMatBalTotGrow1Y == -99998  ) or ( BE_B2BActvMatBalTotA1Y <> 0 ) or ( BE_B2BActvMatBalTotA1Y == 0 and BE_B2BActvMatBalTotGrow1Y == -99997  )
359,B2B Trade,2281,,,"Check if (BE_B2BActvOpsCntArch1Y = 0 or BE_B2BActvOpsCnt = 0), BE_B2BActvOpsBalTotGrow1Y = -99998, else if BE_B2BActvOpsBalTotA1Y = 0), BE_B2BActvOpsBalTotGrow1Y = -99997 ",( BE_B2BActvOpsCntA1Y <> 0 and BE_B2BActvOpsCnt <> 0 ) or (( BE_B2BActvOpsCntA1Y == 0 or  BE_B2BActvOpsCnt == 0 ) and  BE_B2BActvOpsBalTotGrow1Y == -99998  ) or ( BE_B2BActvOpsBalTotA1Y <> 0 ) or ( BE_B2BActvOpsBalTotA1Y == 0 and BE_B2BActvOpsBalTotGrow1Y == -99997  )
360,B2B Trade,2281,,,"Check if (BE_B2BActvOthCntArch1Y = 0 or BE_B2BActvOthCnt = 0), BE_B2BActvOthBalTotGrow1Y = -99998, else if BE_B2BActvOthBalTotA1Y = 0), BE_B2BActvOthBalTotGrow1Y = -99997",( BE_B2BActvOthCntA1Y <> 0 and BE_B2BActvOthCnt <> 0 ) or (( BE_B2BActvOthCntA1Y == 0 or  BE_B2BActvOthCnt == 0 ) and  BE_B2BActvOthBalTotGrow1Y == -99998  ) or ( BE_B2BActvOthBalTotA1Y <> 0 ) or ( BE_B2BActvOthBalTotA1Y == 0 and BE_B2BActvOthBalTotGrow1Y == -99997  )
361,B2B Trade,2281,,,"Check when BE_B2BActvBalTotGrow1Y = -99998, BE_B2BActvBalTotGrowIndx1Y = -99998 ",( BE_B2BActvBalTotGrow1Y <> -99998  )or ( BE_B2BActvBalTotGrow1Y == -99998 and BE_B2BActvBalTotGrowIndx1Y == -99998 )
362,B2B Trade,2281,,,"Check when BE_B2BActvBalTotGrow1Y = -99997, BE_B2BActvBalTotGrowIndx1Y = -99997 ",( BE_B2BActvBalTotGrow1Y <> -99997  )or ( BE_B2BActvBalTotGrow1Y == -99997 and BE_B2BActvBalTotGrowIndx1Y == -99997 )
363,B2B Trade,2281,,,"Check when BE_B2BActvCarrBalTotGrow1Y = -99998, BE_B2BActvCarrBalTotGrowIndx1Y = -99998 ",( BE_B2BActvCarrBalTotGrow1Y <> -99998  )or ( BE_B2BActvCarrBalTotGrow1Y == -99998 and BE_B2BActvCarrBalTotGrowIndx1Y == -99998 )
364,B2B Trade,2281,,,"Check when BE_B2BActvCarrBalTotGrow1Y = -99997, BE_B2BActvCarrBalTotGrowIndx1Y = -99997 ",( BE_B2BActvCarrBalTotGrow1Y <> -99997  )or ( BE_B2BActvCarrBalTotGrow1Y == -99997 and BE_B2BActvCarrBalTotGrowIndx1Y == -99997 )
365,B2B Trade,2281,,,"Check when BE_B2BActvFltBalTotGrow1Y = -99998, BE_B2BActvFltBalTotGrowIndx1Y = -99998 ",( BE_B2BActvFltBalTotGrow1Y <> -99998  )or ( BE_B2BActvFltBalTotGrow1Y == -99998 and BE_B2BActvFltBalTotGrowIndx1Y == -99998 )
366,B2B Trade,2281,,,"Check when BE_B2BActvFltBalTotGrow1Y = -99997, BE_B2BActvFltBalTotGrowIndx1Y = -99997",( BE_B2BActvFltBalTotGrow1Y <> -99997  )or ( BE_B2BActvFltBalTotGrow1Y == -99997 and BE_B2BActvFltBalTotGrowIndx1Y == -99997 )
367,B2B Trade,2281,,,"Check when BE_B2BActvMatBalTotGrow1Y = -99998, BE_B2BActvMatBalTotGrowIndx1Y = -99998 ",( BE_B2BActvMatBalTotGrow1Y <> -99998  )or ( BE_B2BActvMatBalTotGrow1Y == -99998 and BE_B2BActvMatBalTotGrowIndx1Y == -99998 )
368,B2B Trade,2281,,,"Check when BE_B2BActvMatBalTotGrow1Y = -99997, BE_B2BActvMatBalTotGrowIndx1Y = -99997 ",( BE_B2BActvMatBalTotGrow1Y <> -99997  )or ( BE_B2BActvMatBalTotGrow1Y == -99997 and BE_B2BActvMatBalTotGrowIndx1Y == -99997 )
369,B2B Trade,2281,,,"Check when BE_B2BActvOpsBalTotGrow1Y = -99998, BE_B2BActvOpsBalTotGrowIndx1Y = -99998 ",( BE_B2BActvOpsBalTotGrow1Y <> -99998  )or ( BE_B2BActvOpsBalTotGrow1Y == -99998 and BE_B2BActvOpsBalTotGrowIndx1Y == -99998 )
370,B2B Trade,2281,,,"Check when BE_B2BActvOpsBalTotGrow1Y = -99997, BE_B2BActvOpsBalTotGrowIndx1Y = -99997 ",( BE_B2BActvOpsBalTotGrow1Y <> -99997  )or ( BE_B2BActvOpsBalTotGrow1Y == -99997 and BE_B2BActvOpsBalTotGrowIndx1Y == -99997 )
371,B2B Trade,2281,,,"Check when BE_B2BActvOthBalTotGrow1Y = -99998, BE_B2BActvOthBalTotGrowIndx1Y = -99998 ",( BE_B2BActvOthBalTotGrow1Y <> -99998  )or ( BE_B2BActvOthBalTotGrow1Y == -99998 and BE_B2BActvOthBalTotGrowIndx1Y == -99998 )
372,B2B Trade,2281,,,"Check when BE_B2BActvOthBalTotGrow1Y = -99997, BE_B2BActvOthBalTotGrowIndx1Y = -99997",( BE_B2BActvOthBalTotGrow1Y <> -99997  )or ( BE_B2BActvOthBalTotGrow1Y == -99997 and BE_B2BActvOthBalTotGrowIndx1Y == -99997 )
373,B2B Trade,2281,,,"Check BE_B2BActvFltBalTotGrow1Y >= 0 and BE_B2BActvFltBalTotGrow1Y < 1, BE_B2BActvFltBalTotGrowIndx1Y = 0 (except for -99999, -99998, -99997)","( BE_B2BActvFltBalTotGrow1Y in [-99999,-99998,-99997] ) or  ( BE_B2BActvFltBalTotGrowIndx1Y in [-99999,-99998,-99997] ) or ( ( BE_B2BActvFltBalTotGrow1Y >= 0 and BE_B2BActvFltBalTotGrow1Y < 1 ) and BE_B2BActvFltBalTotGrowIndx1Y == 0 ) or ( BE_B2BActvFltBalTotGrow1Y < 0 or BE_B2BActvFltBalTotGrow1Y >= 1 )"
374,B2B Trade,1401,,,Check there is no -99997 populated for all the attributes in this ticket,BE_B2BActv1pDpdCnt <> -99997
375,B2B Trade,1401,,,Check there is no -99997 populated for all the attributes in this ticket,BE_B2BActv31pDpdCnt <> -99997
376,B2B Trade,1401,,,Check there is no -99997 populated for all the attributes in this ticket,BE_B2BActv61pDpdCnt <> -99997
377,B2B Trade,1401,,,Check there is no -99997 populated for all the attributes in this ticket,BE_B2BActv91pDpdCnt <> -99997
378,B2B Trade,1401,,,Check there is no -99997 populated for all the attributes in this ticket,BE_B2BActv1pDpdPct <> -99997
379,B2B Trade,1401,,,Check there is no -99997 populated for all the attributes in this ticket,BE_B2BActv31pDpdPct <> -99997
380,B2B Trade,1401,,,Check there is no -99997 populated for all the attributes in this ticket,BE_B2BActv61pDpdPct <> -99997
381,B2B Trade,1401,,,Check there is no -99997 populated for all the attributes in this ticket,BE_B2BActv91pDpdPct <> -99997
382,B2B Trade,1401,,,"Check BE_B2BActv91pDpdCnt <= BE_B2BActv61pDpdCnt (except for -99999, -99998) ","( BE_B2BActv91pDpdCnt in [-99999,-99998]) or ( BE_B2BActv61pDpdCnt in [-99999,-99998]) or ( BE_B2BActv91pDpdCnt <= BE_B2BActv61pDpdCnt )"
383,B2B Trade,1401,,,"Check BE_B2BActv61pDpdCnt <= BE_B2BActv31pDpdCnt (except for -99999, -99998) ","( BE_B2BActv61pDpdCnt in [-99999,-99998]) or ( BE_B2BActv31pDpdCnt in [-99999,-99998]) or ( BE_B2BActv61pDpdCnt <= BE_B2BActv31pDpdCnt )"
384,B2B Trade,1401,,,"Check BE_B2BActv31pDpdCnt <= BE_B2BActv1pDpdCnt (except for -99999, -99998) ","( BE_B2BActv31pDpdCnt in [-99999,-99998]) or ( BE_B2BActv1pDpdCnt in [-99999,-99998]) or ( BE_B2BActv31pDpdCnt <= BE_B2BActv1pDpdCnt )"
